Australian Bureau of Statistics

"2016 Census - Selected Dwelling Characteristics"
"SA1 by TEND Tenure Type"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"TEND Tenure Type","Owned outright","Owned with a mortgage","Being purchased under a shared equity scheme","Rented","Being occupied rent-free","Being occupied under a life tenure scheme","Other tenure type","Not stated","Not applicable","Total",
"SA1",
"8101106",31,29,0,13,0,0,0,3,5,86,
"8101109",42,27,0,13,0,0,0,4,0,93,
"8107805",29,73,0,23,0,0,0,10,3,144,
"8107821",42,76,0,13,0,0,0,7,6,142,
"8107819",30,32,0,19,0,0,0,5,3,86,
"8107818",48,68,0,13,0,0,0,0,9,136,
"8107809",30,40,0,8,0,0,0,8,3,88,
"8107820",40,84,0,19,0,0,0,3,7,141,
"8107810",66,51,0,72,0,13,18,11,30,266,
"8107801",32,74,0,67,0,0,0,11,10,196,
"8107813",24,70,0,17,0,0,0,0,3,123,
"8107802",20,49,0,18,0,0,0,3,3,95,
"8107807",17,39,0,36,0,0,0,7,0,103,
"8107804",9,68,0,32,0,0,0,5,10,130,
"8107803",23,59,0,53,0,0,0,10,25,171,
"8107814",32,90,0,18,0,0,0,8,14,158,
"8107815",24,61,0,47,0,0,0,5,11,142,
"8107811",49,111,0,51,0,0,0,14,12,238,
"8107808",31,74,0,36,0,0,0,4,8,158,
"8107817",25,53,0,5,0,0,0,3,4,85,
"8107812",27,57,0,32,0,0,0,7,14,134,
"8107816",31,44,0,7,0,0,0,0,5,89,
"8107806",31,89,0,22,0,0,0,6,17,154,
"8107903",60,71,0,30,0,0,0,0,10,179,
"8107904",63,56,0,4,0,0,0,5,4,135,
"8107906",41,70,0,10,0,0,0,9,6,133,
"8107905",52,52,0,35,0,0,0,3,7,149,
"8107907",38,52,0,19,0,0,0,5,9,119,
"8107901",36,53,0,4,0,0,0,7,3,103,
"8107908",30,46,0,7,0,0,0,3,9,93,
"8107909",14,36,0,33,0,0,0,9,5,102,
"8107902",35,74,0,20,3,0,0,3,7,142,
"8108009",0,0,0,0,0,0,0,0,0,0,
"8108005",13,44,0,14,0,0,0,0,23,94,
"8108002",71,29,0,84,3,0,0,3,21,213,
"8108006",3,27,0,93,0,0,0,27,12,164,
"8108008",0,0,0,0,0,0,0,0,0,0,
"8108003",106,55,0,73,0,3,0,4,25,265,
"8108011",35,44,0,176,0,0,0,19,26,298,
"8108007",0,0,0,0,0,0,0,0,0,0,
"8106405",104,79,0,47,0,0,0,17,79,323,
"8106416",46,40,0,24,0,0,0,9,10,125,
"8106417",0,4,0,33,0,0,0,6,12,60,
"8106402",79,67,0,37,0,0,0,9,19,214,
"8106403",24,22,0,57,0,0,0,0,19,126,
"8106404",9,66,0,156,0,0,0,33,38,304,
"8106407",34,35,0,13,4,0,3,6,6,90,
"8106413",77,39,0,21,0,0,0,3,26,165,
"8106409",0,0,0,0,0,0,0,0,0,0,
"8106410",21,18,0,53,3,0,0,10,26,130,
"8106401",28,35,0,86,0,0,0,11,24,186,
"8106411",22,73,0,258,3,0,0,23,68,440,
"8106414",3,3,0,70,0,0,0,19,67,163,
"8106415",46,37,0,14,0,0,0,6,16,124,
"8104018",0,0,0,0,0,0,0,0,0,0,
"8104005",21,44,0,54,0,0,0,7,9,137,
"8104007",23,72,0,58,0,0,0,5,3,166,
"8104024",14,36,0,41,0,0,0,3,0,89,
"8104025",7,30,0,78,0,0,0,13,3,130,
"8104008",20,74,0,61,0,0,0,10,4,179,
"8104002",26,65,0,23,0,0,0,5,4,126,
"8104017",14,36,0,61,0,0,0,10,0,122,
"8104006",19,36,0,38,0,0,0,4,5,107,
"8104001",14,50,0,151,4,0,0,17,14,249,
"8104019",20,27,0,17,0,0,0,5,0,68,
"8104016",0,0,0,0,0,0,0,0,0,0,
"8104020",0,0,0,0,0,0,0,0,0,0,
"8104026",11,36,0,210,0,0,0,27,23,311,
"8104013",13,38,0,47,0,0,0,5,3,109,
"8104011",0,0,0,0,0,0,0,0,0,0,
"8104015",29,47,0,33,0,0,0,10,9,126,
"8104401",25,91,0,56,0,0,0,11,8,192,
"8104402",27,92,0,49,0,0,0,8,15,200,
"8104412",17,48,0,18,0,0,0,7,12,91,
"8104423",16,48,0,37,0,0,0,0,11,114,
"8111901",0,0,0,3,0,0,0,0,0,3,
"8103927",13,88,0,61,0,0,0,8,3,174,
"8103907",8,39,0,24,0,0,0,0,8,83,
"8103922",8,61,0,48,0,0,0,10,13,138,
"8103912",13,48,0,41,0,0,0,3,10,110,
"8103924",10,53,0,42,0,0,0,5,0,117,
"8103923",19,79,0,37,8,0,0,3,3,152,
"8103908",4,29,0,46,0,0,0,10,4,96,
"8103925",20,68,0,34,0,0,0,3,6,132,
"8103919",7,42,0,23,0,0,0,4,3,75,
"8103914",16,88,0,29,0,0,0,8,3,150,
"8103708",13,82,0,57,0,0,0,5,3,162,
"8104502",0,0,0,0,0,0,0,0,0,0,
"8103703",3,63,0,96,0,0,0,8,11,179,
"8103707",10,41,0,75,0,0,0,12,3,143,
"8103702",9,75,0,56,0,0,0,16,10,163,
"8103704",12,81,0,47,0,0,0,3,5,153,
"8103706",17,50,0,24,0,0,0,0,3,101,
"8105604",57,49,0,44,0,0,0,8,16,175,
"8105602",62,70,0,62,0,0,0,19,19,238,
"8105606",40,21,0,8,0,0,0,3,6,77,
"8105605",88,46,0,36,5,0,0,5,16,190,
"8105601",71,75,0,51,3,0,0,12,17,233,
"8105603",75,41,0,71,0,0,0,14,17,229,
"8105607",67,54,0,9,0,0,0,6,8,142,
"8111303",0,0,0,0,0,0,0,0,0,3,
"8104425",0,0,0,0,0,0,0,0,0,0,
"8104411",8,38,0,43,0,0,0,5,4,107,
"8104413",16,29,0,48,0,0,0,0,9,102,
"8104405",7,70,0,52,0,0,0,3,5,143,
"8104404",22,86,0,69,0,0,0,4,11,191,
"8104409",10,45,0,53,0,0,0,0,6,108,
"8101304",58,35,0,3,0,0,0,0,5,102,
"8101302",30,42,0,166,0,5,0,31,35,308,
"8101310",56,18,0,7,0,0,0,0,8,96,
"8101303",63,56,0,3,0,0,0,0,7,134,
"8101307",37,35,0,36,0,0,0,6,14,123,
"8101305",67,54,0,4,0,0,0,5,7,141,
"8101306",57,46,0,13,0,0,0,0,19,134,
"8101308",52,46,0,7,0,0,0,0,7,110,
"8101309",0,0,0,0,0,0,0,0,0,0,
